Search field,Alias 1,Alias 2,Reference in the eForms SDK,Comments
ubo-name,-,-,BT-500-UBO,-
ubo-post-code,-,-,BT-512-UBO,-
ubo-street,-,-,BT-510(a)-UBO; BT-510(b)-UBO; BT-510(c)-UBO,-
ubo-tel,-,-,BT-503-UBO,-
used-assetlot,OPP-021-Contract,-,OPP-021-Contract,-
value-prize-cur-lot,,-,BT-644-Lot,-
value-prize-lot,BT-644-Lot,-,BT-644-Lot,-
variant-allowed-lot,BT-63-Lot,-,BT-63-Lot,-
vehicle-type,OPT-155-LotResult,-,OPT-155-LotResult,-
winner-city,-,-,BT-513-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-contact-point,-,-,BT-502-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-country,-,-,BT-514-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-country-sub,-,-,BT-507-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-decision-date,BT-1451-Contract,-,BT-1451-Contract,-
winner-email,-,-,BT-506-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-gateway,-,-,BT-509-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-identifier,-,-,BT-501-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-internet-address,-,-,BT-505-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-listed,BT-746-Organization,-,BT-746-Organization,-
winner-name,-,-,BT-500-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-owner-nationality,BT-706-UBO,-,BT-706-UBO,-
winner-partname,-,-,BT-16-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-person,-,-,BT-633-Organization[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-post-code,-,-,BT-512-Organization-Company[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-selection-status,BT-142-LotResult,-,BT-142-LotResult,-
winner-size,BT-165-Organization-Company,-,BT-165-Organization-Company,-
winner-touchpoint-city,-,-,BT-513-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-contact-point,-,-,BT-502-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-country,-,-,BT-514-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-country-sub,-,-,BT-507-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-email,-,-,BT-506-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-gateway,-,-,BT-509-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-internet-address,-,-,BT-505-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-name,-,-,BT-500-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-partname,-,-,BT-16-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
winner-touchpoint-post-code,-,-,BT-512-Organization-TouchPoint[OPT-300-Tenderer[OPT-210-Tenderer[OPT-310-Tender[OPT-321-Tender=OPT-320-LotResult[BT-142-LotResult='selec-w']]]]],-
